Game to Catch in,Catch Methods,Pokemon
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness," Waterfall Cave (B1F-B8F), Serenity River (B1F-B7F)
",Barboach
Pokémon Mystery Dungeon: Explorers of Sky," Waterfall Cave (B1F-B8F), Serenity River (B1F-B7F)
",Barboach
Pokémon Rumble Blast," Lake: Soothing Shore
",Barboach
Pokémon Rumble U," Frenzy Square: Make a Big Splash!
",Barboach
Pokémon Battle Trozei," Safari Jungle: Stage 1^Tu
",Barboach
Pokémon Shuffle," Marron Trail: Stage 689, Event: Pokémon Safari (14th release)
",Barboach
Pokémon Rumble World," Ruby Volcano: Lake of Tranquility (All Areas)
",Barboach
Pokémon Ruby," Meteor Falls
",Solrock
Pokémon Sapphire," Trade, Event
",Solrock
Pokémon Emerald," Meteor Falls
",Solrock
Pokémon FireRed and LeafGreen," Trade, Event
",Solrock
Pokémon Colosseum," Trade
",Solrock
Pokémon XD: Gale of Darkness," Citadark Isle (Shadow)
",Solrock
Pokémon Diamond and Pearl," Lake Verity, Lake Acuity, Lake Valor, Mt. Coronet, Sendoff Spring, Turnback Cave (Ruby)
",Solrock
Pokémon Platinum," Lake Verity, Lake Acuity, Lake Valor, Mt. Coronet, Sendoff Spring, Turnback Cave (Ruby)
",Solrock
Pokémon HeartGold and SoulSilver," Safari Zone
",Solrock
Pal Park," Mountain
",Solrock
Pokémon Black and White," Route 13, Giant Chasm
",Solrock
Pokémon Black 2 and White 2," Routes 13 and 22, Giant Chasm
",Solrock
Pokémon Dream World," Icy Cave
",Solrock
Pokémon X and Y," Glittering Cave
",Solrock
Pokémon Omega Ruby," Meteor Falls
",Solrock
Pokémon Alpha Sapphire," Trade
",Solrock
Pokémon Sun and Moon," Pokémon Bank
",Solrock
Pokémon Ultra Sun and Ultra Moon," Pokémon Bank
",Solrock
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Solrock
Pokémon Sword,"
",Solrock
Pokémon Shield," Trade
",Solrock
Pokémon Pinball: Ruby & Sapphire," Cave (Ruby Field)
",Solrock
Pokémon Trozei!," SOL Laboratories, Endless Level 9, Forever Level 9, Mr. Who's Den
",Solrock
Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team," Sky Tower (12F-20F), Mt. Faraway (6F-11F), Wish Cave (80F-89F)
",Solrock
Pokémon Ranger (game)," Panula Cave
",Solrock
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness," Spacial Rift (B4F-B10F)
",Solrock
Pokémon Mystery Dungeon: Explorers of Sky," Spacial Rift (B4F-B10F)
",Solrock
Pokémon Rumble Blast," Canyon: Volcanic Slope
",Solrock
Pokémon Rumble U," Model Train Room: Working Gears, Vehicle Gallery: A Flowing Desert (Capsule Cage)
",Solrock
Pokémon Battle Trozei," Sky-High Ruins: Stage 3
",Solrock
Pokémon Shuffle," Event: The Daily Pokémon (#6)
",Solrock
Pokémon Rumble World," Gold Plateau: Revival Mountains (All Areas)
",Solrock
Pokémon Masters," Sync Pair Scout (Tate's)
",Solrock
Pokémon Ruby," Trade, Event
",Lunatone
Pokémon Sapphire," Meteor Falls
",Lunatone
Pokémon Emerald," Trade, Event
",Lunatone
Pokémon FireRed and LeafGreen," Trade, Event
",Lunatone
Pokémon Colosseum," Trade
",Lunatone
Pokémon XD: Gale of Darkness," Phenac Stadium (Shadow)
",Lunatone
Pokémon Diamond and Pearl," Lake Verity, Lake Acuity, Lake Valor, Mt. Coronet, Sendoff Spring, Turnback Cave (Sapphire)
",Lunatone
Pokémon Platinum," Lake Verity, Lake Acuity, Lake Valor, Mt. Coronet, Sendoff Spring, Turnback Cave (Sapphire)
",Lunatone
Pokémon HeartGold and SoulSilver," Safari Zone
",Lunatone
Pal Park," Mountain
",Lunatone
Pokémon Black and White," Route 13, Giant Chasm
",Lunatone
Pokémon Black 2 and White 2," Routes 13 and 22, Giant Chasm
",Lunatone
Pokémon Dream World," Icy Cave
",Lunatone
Pokémon X and Y," Glittering Cave
",Lunatone
Pokémon Omega Ruby," Trade
",Lunatone
Pokémon Alpha Sapphire," Meteor Falls
",Lunatone
Pokémon Sun and Moon," Pokémon Bank
",Lunatone
Pokémon Ultra Sun and Ultra Moon," Pokémon Bank
",Lunatone
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Lunatone
Pokémon Sword," Trade
",Lunatone
Pokémon Shield,"
",Lunatone
Pokémon Pinball: Ruby & Sapphire," Cave (Sapphire Field)
",Lunatone
Pokémon Trozei!," Phobosphere, Endless Level 7, Forever Level 7, Mr. Who's Den
",Lunatone
Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team," Sky Tower (1F-11F), Mt. Faraway (1F-5F), Solar Cave (8F-12F), Joyous Tower (80F-87F)
",Lunatone
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness," Deep Spacial Rift (B6F-B9F)
",Lunatone
Pokémon Mystery Dungeon: Explorers of Sky," Deep Spacial Rift (B6F-B9F)
",Lunatone
Pokémon Rumble Blast," Canyon: Rugged Flats
",Lunatone
Pokémon Rumble U," Flower Garden: Festival on Mount Moon, Vehicle Gallery: A Flowing Desert (Capsule Cage)
",Lunatone
Pokémon Battle Trozei," Sky-High Ruins: Stage 3
",Lunatone
Pokémon Shuffle," Event: The Daily Pokémon (#6)
",Lunatone
Pokémon Rumble World," Silver Isles: Foggy Crags (All Areas)
",Lunatone
Pokémon Masters," Sync Pair Scout (Liza's)
",Lunatone
Pokémon Ruby," Trade
",Seviper
Pokémon Sapphire," Route 114
",Seviper
Pokémon Emerald," Route 114
",Seviper
Pokémon FireRed and LeafGreen," Trade
",Seviper
Pokémon Colosseum," Trade
",Seviper
Pokémon XD: Gale of Darkness," Trade
",Seviper
Pokémon Diamond and Pearl," Routes 208, 210 (Sapphire)
",Seviper
Pokémon Platinum," Routes 208, 210 (Sapphire)
",Seviper
Pokémon HeartGold and SoulSilver," Safari Zone
",Seviper
Pal Park," Forest
",Seviper
Pokémon Black and White," Route 11, Village Bridge
",Seviper
Pokémon Black 2 and White 2," Routes 7 and 11, Village Bridge, Routes 7 and 23 (Hidden Grotto)
",Seviper
Pokémon Dream World," Dream Park
",Seviper
Pokémon X and Y," Route 8, Friend Safari (Poison)
",Seviper
Pokémon Omega Ruby," Trade
",Seviper
Pokémon Alpha Sapphire," Route 114
",Seviper
Pokémon Sun and Moon," Pokémon Bank
",Seviper
Pokémon Ultra Sun and Ultra Moon," Pokémon Bank
",Seviper
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Seviper
Pokémon Sword and Shield," Unobtainable
",Seviper
Pokémon Pinball: Ruby & Sapphire," Plains (Sapphire Field)
",Seviper
Pokémon Trozei!," Secret Storage 20, Endless Level 41, Forever Level 41, Mr. Who's Den
",Seviper
Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team," Mt. Freeze (13F-15F), Northern Range (20F-24F), Murky Cave (1F-5F), Joyous Tower (62F-69F)
",Seviper
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness," Crystal Cave (B1F-B7F)
",Seviper
Pokémon Mystery Dungeon: Explorers of Sky," Crystal Cave (B1F-B7F)
",Seviper
Pokémon Rumble Blast," Meadow: Everspring Valley
",Seviper
Pokémon Rumble U," Vehicle Gallery: Slithering Trains, Entranceway: A Fateful Showdown!
",Seviper
Pokémon Battle Trozei," Safari Jungle: Stage 3^Fr
",Seviper
Pokémon Shuffle," Event: The Daily Pokémon (#4)
",Seviper
Pokémon Rumble World," Legend Terrain: Meteorite Parkland (All Areas)
",Seviper
Pokémon Ruby," Route 114
",Zangoose
Pokémon Sapphire," Trade, Event
",Zangoose
Pokémon Emerald," Trade, Event
",Zangoose
Pokémon FireRed and LeafGreen," Trade, Event
",Zangoose
Pokémon Colosseum," Trade
",Zangoose
Pokémon XD: Gale of Darkness," Cipher Key Lair (Shadow)
",Zangoose
Pokémon Diamond and Pearl," Routes 208 and 210 (Ruby)
",Zangoose
Pokémon Platinum," Routes 208 and 210 (Ruby)
",Zangoose
Pokémon HeartGold and SoulSilver," Safari Zone
",Zangoose
Pal Park," Field
",Zangoose
Pokémon Black and White," Route 11, Village Bridge
",Zangoose
Pokémon Black 2 and White 2," Routes 7 and 11, Village Bridge, Routes 7 and 23 (Hidden Grotto)
",Zangoose
Pokémon Dream World," Dream Park
",Zangoose
Pokémon X and Y," Route 8
",Zangoose
Pokémon Omega Ruby," Route 114
",Zangoose
Pokémon Alpha Sapphire," Trade
",Zangoose
Pokémon Sun and Moon," Pokémon Bank
",Zangoose
Pokémon Ultra Sun and Ultra Moon," Pokémon Bank
",Zangoose
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Zangoose
Pokémon Sword and Shield," Unobtainable
",Zangoose
Pokémon Pinball: Ruby & Sapphire," Plains (Ruby Field)
",Zangoose
Pokémon Trozei!," Secret Storage 3, Huge Storage 3, Endless Level 22, Mr. Who's Den
",Zangoose
Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team," Mt. Freeze (7F-12F), Wish Cave (65F-71F)
",Zangoose
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness," Crevice Cave (B1F-B10F, Lower Crevice Cave B1F-B4F), Mt. Avalanche (1F-19F)
",Zangoose
Pokémon Mystery Dungeon: Explorers of Sky," Crevice Cave (B1F-B10F, Lower Crevice Cave B1F-B4F), Mt. Avalanche (1F-19F)
",Zangoose
Pokémon Rumble Blast," Meadow: Everspring Valley
",Zangoose
Pokémon Rumble U," Entranceway: A Fateful Showdown!
",Zangoose
Pokémon Battle Trozei," Safari Jungle: Stage 3^Mo
",Zangoose
Pokémon Shuffle," Event: The Daily Pokémon (#4)
",Zangoose
Pokémon Rumble World," Legend Terrain: Meteorite Parkland (All Areas, Entrance Boss)
",Zangoose
Pokémon Ruby and Sapphire," Sky Pillar
",Altaria
Pokémon Emerald," Sky Pillar
",Altaria
Pokémon FireRed and LeafGreen," Trade
",Altaria
Pokémon Colosseum," Evolve Swablu
",Altaria
Pokémon XD: Gale of Darkness," Citadark Isle (Shadow)
",Altaria
Pokémon Diamond and Pearl," Evolve Swablu
",Altaria
Pokémon Platinum," Evolve Swablu
",Altaria
Pokémon HeartGold and SoulSilver," Evolve Swablu
",Altaria
Pal Park," Field
",Altaria
Pokémon Black and White," Route 14
",Altaria
Pokémon Black 2 and White 2," Route 14, Victory Road, Abundant Shrine, Nature Preserve
",Altaria
Pokémon X and Y," Route 21
",Altaria
Pokémon Omega Ruby and Alpha Sapphire," Evolve Swablu
",Altaria
Pokémon Sun and Moon," Trade
",Altaria
Pokémon Ultra Sun and Ultra Moon," Ultra Space Wilds (Cliff World)
",Altaria
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Altaria
Pokémon Sword and Shield," Unobtainable
",Altaria
Pokémon Pinball: Ruby & Sapphire," Evolve Swablu
",Altaria
Pokémon Trozei!," Endless Level 64, Forever Level 14, Pair Trozei, Mr. Who's Den
",Altaria
Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team," Evolve Swablu
",Altaria
Pokémon Ranger (game)," Sekra Range
",Altaria
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness," Crevice Cave (B1F-B10F, Lower Crevice Cave B1F-B4F), Mt. Avalanche (1F-19F)
",Altaria
Pokémon Mystery Dungeon: Explorers of Sky," Crevice Cave (B1F-B10F, Lower Crevice Cave B1F-B4F), Mt. Avalanche (1F-19F)
",Altaria
Pokémon Ranger: Shadows of Almia," Chroma Ruins
",Altaria
Pokémon Rumble Blast," Tower: Firebreathing Mountain (post-ending)
",Altaria
Pokémon Rumble U," Adventure Area: Sweet, Light, and Fluffy (Boss), Magical Lake: Let's Sing a Song
",Altaria
Pokémon Battle Trozei," Safari Jungle: Stage 3^Sa
",Altaria
Pokémon Shuffle," Mt. Vinter: Stage 118
",Altaria
Pokémon Rumble World," Legend Terrain: Meteorite Parkland (Center Boss, Back, Special)
",Altaria
Pokémon Picross," Area 22: Stage 07
",Altaria
Pokémon Ruby and Sapphire," Routes 114 and 115
",Swablu
Pokémon Emerald," Routes 114 and 115
",Swablu
Pokémon FireRed and LeafGreen," Trade
",Swablu
Pokémon Colosseum," Pyrite Cave (Shadow)
",Swablu
Pokémon XD: Gale of Darkness," Trade
",Swablu
Pokémon Diamond and Pearl," Route 211* (Poké Radar)
",Swablu
Pokémon Platinum," Route 210
",Swablu
Pokémon HeartGold and SoulSilver," Route 45 (Swarm)
",Swablu
Pal Park," Field
",Swablu
Pokémon Black and White," Breed Altaria
",Swablu
Pokémon Black 2 and White 2," Route 14 and Abundant Shrine, Abundant Shrine (Hidden Grotto)*, Transfer from Dream Radar
",Swablu
Pokémon Dream World," Windswept Sky
",Swablu
Pokémon X and Y," Route 21 (Horde Encounter)
",Swablu
Pokémon Omega Ruby and Alpha Sapphire," Routes 114 and 115, Soaring in the sky, Sky Pillar (Horde Encounter)
",Swablu
Pokémon Sun and Moon," Trade
",Swablu
Pokémon Ultra Sun and Ultra Moon," Breed Altaria
",Swablu
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Swablu
Pokémon Sword and Shield," Unobtainable
",Swablu
Pokémon Box Ruby & Sapphire," Gift at start*
",Swablu
Pokémon Pinball: Ruby & Sapphire," Wilderness (Sapphire Field)
",Swablu
Pokémon Trozei!," Phobos Jet, Endless Level 5, Forever Level 5, Mr. Who's Den
",Swablu
Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team," Mt. Freeze (1F-6F), Pitfall Valley (7F-12F), Joyous Tower (53F-59F), Remains Island (B7-B12)
",Swablu
Pokémon Ranger (game)," Sekra Range
",Swablu
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness," Blizzard Island (1F-20F), Crevice Cave (B1F-B10F, Lower Crevice Cave B1F-B4F), Mt. Avalanche (1F-19F)
",Swablu
Pokémon Mystery Dungeon: Explorers of Sky," Blizzard Island (1F-20F), Crevice Cave (B1F-B10F, Lower Crevice Cave B1F-B4F), Mt. Avalanche (1F-19F)
",Swablu
Pokémon Rumble Blast," Tower: Firebreathing Mountain
",Swablu
Pokémon Rumble U," Adventure Area: Sweet, Light, and Fluffy, Magical Lake: Let's Sing a Song
",Swablu
Pokémon Battle Trozei," Safari Jungle: Stage 3^Sa
",Swablu
Pokémon Shuffle," Isla Asul: Stage 34
",Swablu
Pokémon Rumble World," Starlight Islands: Wishing Star Tower (All Areas), Legend Terrain: Meteorite Parkland (All Areas)
",Swablu
Pokémon Ruby and Sapphire," Evolve Cacnea
",Cacturne
Pokémon Emerald," Evolve Cacnea
",Cacturne
Pokémon FireRed and LeafGreen," Trade
",Cacturne
Pokémon Colosseum," Trade
",Cacturne
Pokémon XD: Gale of Darkness," Trade
",Cacturne
Pokémon Diamond and Pearl," Route 228
",Cacturne
Pokémon Platinum," Route 228
",Cacturne
Pokémon HeartGold and SoulSilver," Safari Zone
",Cacturne
Pal Park," Mountain
",Cacturne
Pokémon Black and White," Trade
",Cacturne
Pokémon Black 2 and White 2," Reversal Mountain (Swarm)
",Cacturne
Pokémon X and Y," Friend Safari (Dark)
",Cacturne
Pokémon Omega Ruby and Alpha Sapphire," Evolve Cacnea
",Cacturne
Pokémon Sun and Moon," Pokémon Bank
",Cacturne
Pokémon Ultra Sun and Ultra Moon," Pokémon Bank
",Cacturne
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Cacturne
Pokémon Sword and Shield," Unobtainable
",Cacturne
Pokémon Pinball: Ruby & Sapphire," Evolve Cacnea
",Cacturne
Pokémon Trozei!," Secret Storage 2, Trozei Battle, Mr. Who's Den
",Cacturne
Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team," Evolve Cacnea
",Cacturne
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness," Northern Desert (9F-15F), Happy Outlook (B1F-B19F)
",Cacturne
Pokémon Mystery Dungeon: Explorers of Sky," Northern Desert (9F-15F), Happy Outlook (B1F-B19F)
",Cacturne
Pokémon Ranger: Shadows of Almia," Haruba Desert
",Cacturne
Pokémon Rumble Blast," Desert: Sunny Seashore
",Cacturne
Pokémon Rumble U," Magical Lake: In Need of Trees, Chill Battle: Garden Keepers
",Cacturne
Pokémon Battle Trozei," Mysterious Fountain: Stage 5
",Cacturne
Pokémon Shuffle," Violeta Palace: Stage 397
",Cacturne
Pokémon Rumble World," Fairy Land: Heat-Wave Desert (Center Boss, Back)
",Cacturne
Pokémon Ruby and Sapphire," Route 111
",Cacnea
Pokémon Emerald," Route 111
",Cacnea
Pokémon FireRed and LeafGreen," Trade
",Cacnea
Pokémon Colosseum," Trade
",Cacnea
Pokémon XD: Gale of Darkness," Trade
",Cacnea
Pokémon Diamond and Pearl," Route 228
",Cacnea
Pokémon Platinum," Route 228
",Cacnea
Pokémon HeartGold and SoulSilver," Safari Zone
",Cacnea
Pal Park," Mountain
",Cacnea
Pokémon Black and White," Trade
",Cacnea
Pokémon Black 2 and White 2," Breed Cacturne
",Cacnea
Pokémon Dream World," Rugged Mountain
",Cacnea
Pokémon X and Y," Breed Cacturne
",Cacnea
Pokémon Omega Ruby and Alpha Sapphire," Route 111
",Cacnea
Pokémon Sun and Moon," Pokémon Bank
",Cacnea
Pokémon Ultra Sun and Ultra Moon," Pokémon Bank
",Cacnea
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Cacnea
Pokémon Sword and Shield," Unobtainable
",Cacnea
Pokémon Pinball: Ruby & Sapphire," Wilderness (Sapphire Field)
",Cacnea
Pokémon Trozei!," Endless Level 5, Forever Level 5, Pair Trozei, Mr. Who's Den
",Cacnea
Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team," Mt. Thunder (1F-4F), Joyous Tower (33F-35F), Oddity Cave (B1-B4)
",Cacnea
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness," Northern Desert (1F-8F)
",Cacnea
Pokémon Mystery Dungeon: Explorers of Sky," Northern Desert (1F-8F)
",Cacnea
Pokémon Ranger: Shadows of Almia," Haruba Desert
",Cacnea
Pokémon Rumble Blast," Desert: Sunny Seashore
",Cacnea
Pokémon Rumble U," Magical Lake: In Need of Trees, Chill Battle: Garden Keepers
",Cacnea
Pokémon Battle Trozei," Safari Jungle: Stage 2^Tu
",Cacnea
Pokémon Shuffle," Violeta Palace: Stage 394
",Cacnea
Pokémon Rumble World," Ruby Volcano: Dusty Desert (All Areas), Fairy Land: Heat-Wave Desert (All Areas)
",Cacnea
Pokémon Ruby and Sapphire," Evolve Vibrava
",Flygon
Pokémon Emerald," Evolve Vibrava
",Flygon
Pokémon FireRed and LeafGreen," Trade
",Flygon
Pokémon Colosseum," Evolve Vibrava
",Flygon
Pokémon XD: Gale of Darkness," Evolve Vibrava
",Flygon
Pokémon Diamond and Pearl," Evolve Vibrava
",Flygon
Pokémon Platinum," Trade
",Flygon
Pokémon HeartGold and SoulSilver," Evolve Vibrava
",Flygon
Pal Park," Mountain
",Flygon
Pokémon Black," Trade
",Flygon
Pokémon White," Evolve Vibrava
",Flygon
Pokémon Black 2 and White 2," Evolve Vibrava
",Flygon
Pokémon X and Y," Evolve Vibrava
",Flygon
Pokémon Omega Ruby and Alpha Sapphire," Evolve Vibrava
",Flygon
Pokémon Sun and Moon," Evolve Vibrava
",Flygon
Pokémon Ultra Sun and Ultra Moon," Evolve Vibrava
",Flygon
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Flygon
Pokémon Sword and Shield,"
",Flygon
Pokémon Pinball: Ruby & Sapphire," Evolve Vibrava
",Flygon
Pokémon Trozei!," Endless Level 5, Forever Level 54, Pair Trozei, Mr. Who's Den
",Flygon
Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team," Evolve Vibrava
",Flygon
Pokémon Ranger (game)," Jungle Relic (during mission)
",Flygon
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness," Mystifying Forest (1F-13F), Mystery Jungle (1F-29F), Mt. Mistral (1F-19F)
",Flygon
Pokémon Mystery Dungeon: Explorers of Sky," Mystifying Forest (1F-13F), Sky Peak (1st Station Pass 1F-6th Station Pass 3F), Mystery Jungle (1F-29F), Mt. Mistral (1F-19F)
",Flygon
Pokémon Ranger: Shadows of Almia," Haruba Desert
",Flygon
PokéPark Wii: Pikachu's Adventure," Granite Zone
",Flygon
Pokémon Rumble Blast," Desert: Rugged Flats (post-ending), Autumnwood: All*
",Flygon
Pokémon Rumble U," Vehicle Gallery: Spike Ball Alert!
",Flygon
Pokémon Battle Trozei," Distortion Island: Stage 3, Variety Battle: I Dunno, Audino (Reward)
",Flygon
Pokémon Shuffle," Violeta Palace: Stage 390
",Flygon
Pokémon Rumble World," White Ruins: Trailhead Field (Back Boss)
",Flygon
Pokémon Picross," Area 27: Stage 06
",Flygon
Pokémon Ruby and Sapphire," Evolve Trapinch
",Vibrava
Pokémon Emerald," Evolve Trapinch
",Vibrava
Pokémon FireRed and LeafGreen," Trade
",Vibrava
Pokémon Colosseum," Shadow PKMN Lab (Shadow)
",Vibrava
Pokémon XD: Gale of Darkness," Evolve Trapinch
",Vibrava
Pokémon Diamond and Pearl," Route 228 (Poké Radar)
",Vibrava
Pokémon Platinum," Trade
",Vibrava
Pokémon HeartGold and SoulSilver," Safari Zone
",Vibrava
Pal Park," Mountain
",Vibrava
Pokémon Black," Trade
",Vibrava
Pokémon White," Evolve Trapinch
",Vibrava
Pokémon Black 2 and White 2," Reversal Mountain (Dark grass)
",Vibrava
Pokémon X and Y," Evolve Trapinch
",Vibrava
Pokémon Omega Ruby and Alpha Sapphire," Evolve Trapinch
",Vibrava
Pokémon Sun and Moon," Evolve Trapinch
",Vibrava
Pokémon Ultra Sun and Ultra Moon," Evolve Trapinch
",Vibrava
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Vibrava
Pokémon Sword and Shield,"
",Vibrava
Pokémon Pinball: Ruby & Sapphire," Wilderness (Sapphire Field)
",Vibrava
Pokémon Trozei!," Secret Storage 6, Mr. Who's Den
",Vibrava
Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team," Southern Cavern (12F-20F), Wyvern Hill (10F-16F)
",Vibrava
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness," Quicksand Cave (B1F-B9F)
",Vibrava
Pokémon Mystery Dungeon: Explorers of Sky," Quicksand Cave (B1F-B9F)
",Vibrava
Pokémon Rumble Blast," Desert: Rugged Flats
",Vibrava
Pokémon Rumble U," Vehicle Gallery: Spike Ball Alert!
",Vibrava
Pokémon Battle Trozei," Distortion Island: Stage 3
",Vibrava
Pokémon Shuffle," Violeta Palace: Stage 386
",Vibrava
Pokémon Rumble World," White Ruins: Trailhead Field (All Areas), Plasma Tundra: Sacred Blade Cliff (All Areas)
",Vibrava
Pokémon Ruby and Sapphire," Route 111
",Trapinch
Pokémon Emerald," Route 111, Mirage Tower
",Trapinch
Pokémon FireRed and LeafGreen," Trade
",Trapinch
Pokémon Colosseum," Trade
",Trapinch
Pokémon XD: Gale of Darkness," Rock Poké Spot
",Trapinch
Pokémon Diamond and Pearl," Route 228 (Poké Radar)
",Trapinch
Pokémon Platinum," Trade
",Trapinch
Pokémon HeartGold and SoulSilver," Safari Zone
",Trapinch
Pal Park," Mountain
",Trapinch
Pokémon Black," Trade, Event
",Trapinch
Pokémon White," White Forest
",Trapinch
Pokémon Black 2 and White 2," Desert Resort, Reversal Mountain
",Trapinch
Pokémon Dream World," Rugged Mountain
",Trapinch
Pokémon X and Y," Route 13, Friend Safari (Ground)
",Trapinch
Pokémon Omega Ruby and Alpha Sapphire," Route 111
",Trapinch
Pokémon Sun and Moon," Haina Desert
",Trapinch
Pokémon Ultra Sun and Ultra Moon," Haina Desert
",Trapinch
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Trapinch
Pokémon Sword and Shield,"
",Trapinch
Pokémon Pinball: Ruby & Sapphire," Hatch from Egg
",Trapinch
Pokémon Trozei!," Phobos Drill, Endless Level 27, Forever Level 27, Mr. Who's Den
",Trapinch
Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team," Silent Chasm (6F-9F), Wish Cave (21F-28F), Desert Region (1F-11F), Joyous Tower (21F-24F)
",Trapinch
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness," Northern Desert (1F-15F)
",Trapinch
Pokémon Mystery Dungeon: Explorers of Sky," Northern Desert (1F-15F)
",Trapinch
Pokémon Rumble Blast," Desert: Rugged Flats
",Trapinch
Pokémon Rumble U," Vehicle Gallery: Spike Ball Alert!
",Trapinch
Pokémon Battle Trozei," Distortion Island: Stage 3
",Trapinch
Pokémon Shuffle," Violeta Palace: Stage 358
",Trapinch
Pokémon Rumble World," White Ruins: Trailhead Field (All Areas), Plasma Tundra: Sacred Blade Cliff (All Areas)
",Trapinch
Pokémon Ruby and Sapphire," Route 113
",Spinda
Pokémon Emerald," Route 113
",Spinda
Pokémon FireRed and LeafGreen," Trade, Event
",Spinda
Pokémon Colosseum," Trade
",Spinda
Pokémon XD: Gale of Darkness," Trade
",Spinda
Pokémon Diamond and Pearl," Route 227 (Swarm)
",Spinda
Pokémon Platinum," Route 227 (Swarm)
",Spinda
Pokémon HeartGold and SoulSilver," Safari Zone, Sprout Tower, Bell Tower, Burned Tower (Hoenn Sound)
",Spinda
Pal Park," Field
",Spinda
Pokémon Black and White," Trade
",Spinda
Pokémon Black 2 and White 2," Trade with Curtis or Yancy in Nimbasa City
",Spinda
Pokémon Dream World," Rugged Mountain
",Spinda
Pokémon X and Y," Route 21, Route 21 (Horde Encounter)
",Spinda
Pokémon Omega Ruby and Alpha Sapphire," Route 113
",Spinda
Pokémon Sun and Moon," Ten Carat Hill
",Spinda
Pokémon Ultra Sun and Ultra Moon," Ten Carat Hill
",Spinda
Pokémon Let's Go Pikachu and Let's Go Eevee," Unobtainable
",Spinda
Pokémon Sword and Shield," Unobtainable
",Spinda
Pokémon Pinball: Ruby & Sapphire," Hatch from Egg
",Spinda
Pokémon Trozei!," Secret Storage 14, Endless Level 4, Trozei Battle, Mr. Who's Den
",Spinda
Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team," Joyous Tower (5F-7F)
",Spinda
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness," Marine Resort (1F-9F), Lost Wilderness (B1F-B17F)
",Spinda
Pokémon Mystery Dungeon: Explorers of Sky," Marine Resort (1F-9F), Lost Wilderness (B1F-B17F)
",Spinda
Pokémon Rumble Blast," Factory: Firebreathing Mountain
",Spinda
Pokémon Rumble U," Wonder Area: Pokémon Outbreak!
",Spinda
Pokémon Battle Trozei," Safari Jungle: Stage 3^Mo
",Spinda
Pokémon Shuffle," Prasino Woods: Stage 586, Event: Pokémon Safari (First release)
",Spinda
Pokémon Rumble World," Starlight Islands: Volcanic Ravine (All Areas)
",Spinda
Pokémon Ruby and Sapphire," Evolve Spoink
",Grumpig
Pokémon Emerald," Evolve Spoink
",Grumpig
Pokémon FireRed and LeafGreen," Trade
",Grumpig
Pokémon Colosseum," Trade
",Grumpig
Pokémon XD: Gale of Darkness," Trade
",Grumpig
Pokémon Diamond and Pearl," Evolve Spoink
",Grumpig
Pokémon Platinum," Evolve Spoink
",Grumpig
Pokémon HeartGold and SoulSilver," Evolve Spoink
",Grumpig
Pal Park," Field
",Grumpig
Pokémon Black and White," Trade
",Grumpig
Pokémon Black 2," Reversal Mountain
",Grumpig
Pokémon White 2," Trade
",Grumpig
Pokémon X and Y," Friend Safari (Psychic)
",Grumpig
Pokémon Omega Ruby and Alpha Sapphire," Evolve Spoink
",Grumpig
Pokémon Sun and Moon," Trade
",Grumpig
